"english","tulu"
"This is the minimum amount of energy required for a continuous flow of energy and the maximum amount that can be supplied to a continuous stream of energy.","ಇತ್ತೆ ಪ್ರಕ್ವತಿದ ಬಣ್ಣ ತಿಕ್ಕುನ ಕಮ್ಮಿ ಅಯಿನೆರ್ದ್ ಇತ್ತೆ ಅಂಗಡಿಡ್ ತಿಕ್ಕುನ ಮಂಜಲ್ ಬಣ್ಣನ್ ಉಪಯೋಗ ಮಲ್ಪೆರೆ ಸುರು ಪತ್ಯರ್"
"Karl Marx tried to get a doctorate from the Berlin School of Economics and all those whom he represented failed because of the policies of the Ugr Foundation.","ಕಾರ್ಲ್ ಮಾರ್ಕ್ಸ್ ರವರು ಬರ್ಲಿನ್ ವಿಶ್ವವಿದ್ಯಾಲಯದಿಂದ ಡಾಕ್ಟರೇಟ್ ಪದವಿಯನ್ನು ಪಡೆಯಲು ಪ್ರಯತ್ನಿಸಿ  ಅವರು ಪ್ರತಿಪಾದಿಸಿದ್ದ ಅಲವಾರು ಉಗ್ರ ಎಡಪಂಥೀಯ ವಿಚಾರಗಳಿಂದಾಗಿ ವಿಫಲರಾದರು"
"Take the BONDOL-CHITR SAMPUTO","ಬೊಂಡೊಲ್ - ಚಿತ್ರ ಸಂಪುಟೊ ಉಲ್ಲೇಕೊಲು"
"So ( mml ) is the length of the long straight line and the width of the short straight line.","ಮೀ (೧೩೦ ಮೈಲ್) ದೂರೊಡುಪ್ಪುನ ಹರಾಮುಖ್ ಪರ್ವತೊಡ್ದ್ ಕರಕೋರಂ ದ ಸುರುತ ಸಮೀಕ್ಷೆನ್ ಮಲ್ತೆರ್  ಬುಕ್ಕೊ್ಕ ರಡ್ಡ್ ಪ್ರಮುಖ ಶಿಖರೊಲೆನ್ ರೇಖಾಚಿತ್ರ ಮಲ್ತೆರ್  ಅವೆನ್ ಕೆ೧ ಬುಕ್ಕೊ್ಕ ಕೆ೨ ಪಂಡ್ದ್ ಲೇಬಲ್ ಮಲ್ತೆರ್  ಅಲ್ಪ ಕೆ ಪಂಡ ಕರಕೋರಂ"
"Bete Dinokuled Devathalen Murthil Bete Nodu Alankrisware ( for example  Garuda Vahan and Atthand Vishaan Devareg Hanuman Vahan & Ganesh Devereg ).","ಬೇತೆ ದಿನೊಕುಲೆಡ್  ದೇವತೆಲೆನ ಮೂರ್ತಿಲೆನ್ ಬೇತೆ ಬೇತೆ ರೂಪೊಡು ಅಲಂಕರಿಸವೆರ್ (ಉದಾಹರಣೆಗೆ ಗರುಡ ವಾಹನ ಅತ್ತಂಡ ವಿಷ್ಣು ದೇವೆರೆಗ್ ಹನುಮಾನ್ ವಾಹನ  & ಗಣೇಶ ದೇವೆರೆಗ್ ಮೂಶಿಕ(ಮೌಸ್) ವಾಹನ) ಬೊಕ್ಕ ಗ್ರಾಮದ ನಿವಾಸಿಲು  ಅಂಚನೆ ಗ್ರಾಮೊಲೆಡ್ದ್ ಕಲ್ಪತಿ ಜವನೆರ್  ಕಾಲಿಪತಿದ ಬೆಂಬಲೊಡು ಭಾರಿ ಮೆರವಣಿಗೆಡ್ ಬೀದಿಲೆಡ್ ಕರೆತೊಂದು ಪೋಪೆರ್ ಬಿದಿರುದ ಚಿಗುರುಲು ಅತ್ತ್ಂಡ ಪಲ್ಲಕ್ವಿನ್ ಡ್"
"Lo Dongbin Mulpad Swarg with Poirier Performer","ಲು ಡೊಂಗ್ಬಿನ್ ಮುಲ್ಪಡ್ದ್ ಸ್ವರ್ಗೊಗು ಪೋಯೆರ್ ಪನ್ಪೆರ್"
"When the ganji is opened  add another piece of wood to it.","ಗಂಜಿನ್ ಬೇಯಿಪವ್ನಾಗ ಕರುಂಬುದ ಬೇರುನ್ ಕಿನ್ನ ಕಿನ್ನ ತುಂಡು ಮಲ್ತ್ ಅಯಿಕ್ ಪಾಡೊಡ್"
"For the network of social potentials  another array is called Tando LLD  which represents the circuit line of the social chain control system.","ಸಾಮಾಜಿಕ ಪ್ರಾಬಲ್ಯದ ನರ ಯಾಂತ್ರಿಕತೆಲು ಹು ಬೊಕ್ಕ ಅರೆನ ತಂಡೊ ಎಲಿಲೆಡ್ ಸಾಮಾಜಿಕ ಶ್ರೇಣಿನ್ ನಿಯಂತ್ರಣ ಮಲ್ಪುನ ನರ ಸರ್ಕ್ಯೂಟ್ ಲೆನ್ ಗುರುತಿಸಯೆರ್"
"PRESIDENTIAL PRESSURE - EXCLUSIVE AND JUSTICE ON THE LEFT SIDE OF THE RACIAL CRIDICULTY AND ATTENTION ON THE LIFE ( 14 ) -MARK","ಪ್ರಶಸ್ತಿಲು ಪ್ರಧಾನಿ ಪ್ರಶಸ್ತಿ - ರಾಷ್ಟ್ರೀಯ ಕ್ರೀಡಾಕೂಟದ ಅತ್ಯುತ್ತಮ ಆಟಗಾರ್ತಿ ೧೯೯೭ ಬೊಕ್ಕ ೧೯೯೯ ಒರ್ತಿ ಪೊಣ್ಣು ಅಥ್ಲೀಟ್ ಗೆಂದಿನ ಅತಿ ಜಾಸ್ತಿ ಬಂಗಾರ್ದ ಪದಕೊಲು (14) - ಮಣಿಪುರ ರಾಷ್ಟ್ರೀಯ ಕ್ರೀಡಾಕೂಟ 1999 ಅರ್ಜುನ ಪ್ರಶಸ್ತಿ -೨೦೦೦ ರಾಜ್ಯೋತ್ಸವ ಪ್ರಶಸ್ತಿ- ೨೦೦೧ ಕರುನಾಡ ರಾಜ್ಯ ಏಕಲವ್ಯ ಪ್ರಶಸ್ತಿ -2002 ಆಫ್ರೋ-ಏಷ್ಯನ್ ಗೇಮ್ಸ್ ೨೦೦೩ - ಮಹಿಳಾ ಬೆನ್ನಿ ಸ್ಟ್ರೋಕ್ ಡ್ ಬೊಳ್ಳಿ ಪದಕ ಉಲ್ಲೇಕೊಲು ಬಾಹ್ಯ ಲಿಂಕ್"
"This is not the first time I've seen this kind of thing happen.","ಈ ತೇವುಡು ಪತ್ರಡ್ಡೆ  ಚೇಟ್ಲ ಪೂರ ಮಲ್ಪುವೆರ್"
"This is the first draft of a comprehensive plan for the day  which includes each year's budget.","ಪ್ರತಿ ವರ್ಸೊ ಭಾದ್ರಪದ ತಿಂಗೊಲುದ ಶುಕ್ಲಪಕ್ಷದ ಚತುರ್ಥಿದ ದಿನ ಈ ಪರ್ಬೊನು ಆಚರಣೆ ಮಲ್ಪುವೆರ್"
"Nongzi Sarthi took part in the Battle of Burgundy 1944 along with Royal Car Force Bandobbadi  Bukko  and Upholded Master Commanding Officer.","ನನೊಂಜಿ ಸರ್ತಿ  ಬರ್ಗನ್ ದ ಕೆಲವು ಭಾಗೊಲು 1944ಡ್ ರಾಯಲ್ ಏರ್ ಫೋರ್ಸ್ ಬಾಂಬ್ ದಾಳಿ ಬುಕ್ಕೊ ಜರ್ಮನ್ ಮದ್ದುಗುಂಡು ಅಪಘಾತೊಲೆಡ್ದ್ ಮಸ್ತ್ ಹಾನಿಯಾತ್ಂಡ್"
"And then there's Ajay  who is a very good human being.","ಆಂಡ ಅಕ್ಲೆಗ್‌ ಒಂಚೂರುಲಾ ನರಮಾನ್ಯನ ಗುರ್ತ ಇಜ್ಜಿ"
"Bhaktivedanta Swami Prabhupada was the founder of the prestigious IIT Foundation Institute of Technology.","ಭಕ್ತಿವೇದಂತ ಸ್ವಾಮಿ ಪ್ರಭುಪಾದೆರೆನ ಶಿಷ್ಯೆರ್ ಬೊಕ್ಕ ಐಡೆಂಟಿಟಿ ಫೌಂಡೇಶನ್ ವಿಜ್ಞಾನ ಸಂಸ್ಥೆದ ಸ್ಥಾಪಕಿ ಆದಿತ್ತೆರ್"
"On the other side of the main sagging arena is a grand staircase leading to a huge crowd of thousands of people waiting for Shrimant Deshwade.","ಮನಮೋಹನ ಸಿಂಗ್ ಅರೆನ ನುಡಿಮುತ್ತು ಬುಕ್ಕೊ ಪ್ರಮುಖ ಹೇಳಿಕೆಲು ಭಾರತ ಅತ್ಯಂತ ಎಚ್ಚ ಬಡ ಜನಕುಲು ವಾಸಿಸುನ ಶ್ರೀಮಂತ ದೇಶವಾದ್ ಉಂಡು"
"Atal Bihari Vajpayee Government Victoria College ( now Laxmi Bai College )  Dehradun","ಅಟಲ್ ವಾಜಪೇಯಿ ಪದವಿನ್ ವಿಕ್ಟೋರಿಯಾ ಕಾಲೇಜಿಡ್ದ್ (ಇತ್ತೆ ಲಕ್ಷ್ಮಿ ಬಾಯಿ ಕಾಲೇಜು) ದೆತೊಂಡೆರ್"
"The national football team and the national handball team play each other every year.","ರಾಷ್ಟ್ರೀಯ ಫುಟ್ಬಾಲ್ ತಂಡೊನು ನಾರ್ವೆದ ಮಹಿಳಾ ರಾಷ್ಟ್ರೀಯ ಹ್ಯಾಂಡ್ಬಾಲ್ ತಂಡೊಡ್ದ್ ಪತ್ತೊಂಜಿ ವರ್ಷ ದುಂಬು ಏರೆಗ್ಲಾ ಗೆಂದಿನ ಸುರುತ ನಾರ್ವೆಜಿಯನ್ ಕ್ರೀಡಾ ತಂಡ ಆಂಡ್"
"In these models  the main work is not done by a very happy or unhappy partner.","ಇಂಥ ಮಾದರಿಗಳಲ್ಲಿ ಪ್ರಮುಖ ಕೆಲಸವೆಲ್ಲ ಅತಿಮಾನುಷ ಅಥವಾ ಅದ್ಭುತ ಸಹಾಯಕರಿಂದ ನಡೆದು ಹೋಗುತ್ತದೆ"
"Aramane Mushian Vizag","ಅರಮನೆ ಮ್ಯೂಸಿಯಂ  ಬೀಜಿಂಗ್"
"Prof. Gerald L. Gichon  a science and technology professor who has published research papers  is also involved in the preparation of anthrax reports.","ಪಾಶ್ಚರ್ ನ ಪ್ರಯೋಗಾಲದ ಟಿಪ್ಪಣಿಗಳನ್ನು ಓದಿದ ವಿಜ್ಞಾನ ಇತಿಹಾಸ ತಜ್ಞ ಗೆರಾಲ್ಡ್ ಎಲ್ ಗಿಸನ್ ಅಂಥ್ರಾಕ್ಸ್ ಲಸಿಕೆಗಳ ತಯಾರಿಕೆಯಲ್ಲಿ ಪಾಶ್ಚರ್ ತಪ್ಪು ಮತ್ತು ಹಾದಿ ತಪ್ಪಿಸುವ ಅಭಿಪ್ರಾಯಗಳನ್ನು ನೀಡಿದ್ದಾನೆಂದು ಹೇಳಿದ"
"Perdurrud Jotter Mst and Vijay Bhandup","ಪೆರ್ಡೂರುಡ್ ಜಾತ್ರೆ ಮಸ್ತ್ ವಿಜೃಂಭಣೆಡ್ ಅಪುಂಡು"
"This area of Kumbla  Simdega and Nalbandar railway stations in Kasaragod district is the headquarters of the British Railways.","ಕಾಸ್ರೋಡು ಜಿಲ್ಲೆದ ಕುಂಬ್ಳೆ ಸೀಮೆದ ನಾಲ್ ಪ್ರಧಾನ ದೇವಸ್ಥಾನಲೆಡ್ ಒಂಜಾಯಿನ ಈ ಕ್ಷೇತ್ರ  ಬ್ರಿಟಿಷೆರೆನ ರೈಲ್ವೆ ಪಟ್ಟೆ ಓಲ್ಡ್ ಇತ್ತೆದ ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿ ಆವಡ್ ಒಯಿರ್ದ್ಲಾ ದೇವಸ್ಥಾನಗ್ ಒಂಜಿ ಚೂರುಲಾ ಧಕ್ಕೆ ಮಲ್ಪೆರೆಗ್ ಆಯಿಜಿ"
"Lots of money is being spent on the Congress party.","ಅಲ್ಪ ರೈಸುನನ್೦ಚಿನ ತಾರೆ ಕಂಗ್‍ದ ಸಾಲುಲು"
"Or the other day at the airport  there was a bus carrying 43 American Passport passengers and a driver with a spare seat.","ಆರ್ ಬೊಕ್ಕ ಅರೆನ ಚಾರ್ಜ್ ಡ್ ಇತ್ತಿನ ಬೇತೆ ಅಟೆಂಡೆಂಟ್ ಲು ಒರಿನ 43 ಅಮೆರಿಕನ್ ಲೆನ ಪಾಸ್ ಪೋರ್ಟ್ ಲೆನ್ ಮುಚ್ಚಿದ್ ದೀಯೆರ್  ಕೆಲವೆರ್ ಒಂಜಿ ಸೀಟ್ ದ ಅಡಿಟ್ಟ್ ಬೊಕ್ಕ ಒರಿನಕುಲು ಒಂಜಿ ಕಜವುದ ಗುಂಡಿಡ್ ಮುಚ್ಚಿಯೆರ್  ಅಂಚಾದ್ ಅಪಹರಣಕಾರೆರ್ ಅಮೆರಿಕನ್ ಬೊಕ್ಕ ಅಮೆರಿಕನ್ ಅತ್ತ್ ನ ಪ್ರಯಾಣಿಕೆರೆನ ನಡುಟು ವ್ಯತ್ಯಾಸ ಮಲ್ಪೆರೆ ಸಾಧ್ಯ ಆಯಿಜಿ"
"[ 2 ] Kashiya is the name of a village which is located in the Alang Padra district of Assam  India.","[ 2 ] ಕ್ಸಿಯಾಒಲುವಾನ್ ನ ಅಪ್ಪೆ  ಯೆ ಶಾವೊಯುವಾನ್  ಅಲೆನ್  ಅಲೆಗ್ ಪದ್ರಾಡ್ ವರ್ಷ ಪ್ರಾಯೊಡು ಇತ್ತಿನಗ  ನಂಜಿಂಗ್ ಗ್ ತಾವೊಯೆ ಫೋರ್ಡ್ ನ್ ತೂಯೆರೆ ಲೆತೊಂದು ಪೋಯೆರ್  ಉಂದು ಕೋರ್ಟೆಸನ್ ಕ್ಸುಯೆ ಸುಸುನ ದುಂಬುದ ನಿವಾಸ"
"Kaal Kalikannu Kattil Pumpkin Putharkattil Pandal Bandhalangad ( काल करिलेकने कत्तिल पुत्र कट्ट्लिया पंडलंड )","ಕಾಲ ಕರಿಲೆಕನೆ ಕಡ್ತಿಲ ಪನ್ಪಿನ ಪುದರ್ ಕಟ್ಟತ್ತಿಲ ಪಂದ್ ಬದಲಾಂಡ್"
"Don 't be afraid to say "" PERFORMANCE ""","ಉಂದೆನ್ ""ಬಾಲದೊಬಾಪ್ಲ"" ಪನ್ಪೆರ್"
"The company owns and operates its manufacturing business through VLCC Personal Care Limited.","ಕಂಪೆನಿ VLCC ಪರ್ಸನಲ್ ಕೇರ್ ಲಿಮಿಟೆಡ್ ಮೂಲಕ ಭಾರತೊಡು ತನ್ನ ಉತ್ಪನ್ನೊಲೆನ ವ್ಯವಹಾರೊನು ನಡಪಾವುಂಡು"
"Varsha Srutu Raja Randhawa has launched the DBS video of the Nizam's Army Contingent.","ವರ್ಷಾ ಸರುಟು ರಾಜಾ ರಾಣಿಡ್ ನಜ್ರಿಯಾ ನಾಜಿಮ್ ಆರ್ನ ಸಂಭಾಷಣೆಯ ಡಬ್ಸ್ಮ್ಯಾಶ್ ವೀಡಿಯೊಲೆಗ್ಹೆ ಸರುವಾಸಿಯಾದರು"
"And then see Nyan Island and Vithal Island  Chimni Island  this is where I will find many acres of islands in the future.","ಅಂಡೆದೀಪ  ಗೋಳದೀಪ  ನಿಯಾನ್ ದೀಪ  ಅಣು ವಿದ್ಯುತ್ ದೀಪ  ಚಿಮಣಿ ದೀಪ  ಗ್ಯಾಸ್‍ದೀಪ ಇತ್ಯಾದಿ ನಾನಾ ಬಗೆಯ ನಾನಾ ಆಕಾರಗಳ ದೀಪಗಳ ಬಳಕೆ ಇಂದು ಕಂಡುಬರುತ್ತದೆ"
"Kaddai Tir Palangadu","ಕಡ್ಡಾಯಿ ನೀರ್ ಪಾಲಾಂಡು"
"The Land of Israel","ಇಸ್ರೇಲ್‌ತ ಪೌಂಡ್ ನಾಣ್ಯ"
"Communities can configure how this feature will work in situ.","ಸಮುದಾಯಗಳು ಈ ವೈಶಿಷ್ಟ್ಯವು ಸ್ಥಳೀಯವಾಗಿ ಹೇಗೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ ಎಂಬುದನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಬಹುದು"
"On the second day of Puja  Devasthan in Shabarim  Bokkho Tamlu  who is the patron saint of Panchanga  presented him with the Etihad Bakil Daat.","ಪೂಜೆ ನಡಪು ದಿನೊಕ್ಕುಲು ಶಬರಿಮಲೆ ದೇವಸ್ತಾನ ಮಲಯಾಳಿ ಬುಕ್ಕೊ ತಮಿಳು ಪಂಚಾಂಗದ ಪೂರ ತಿಂಗೊಲ್ದ ಸುರುತ ೫ ದಿನ ಬಾಕಿಲ್ ದೆತ್ದ್ ಉಪ್ಪುಂಡು"
"A ̄ svattha ̄ lilavati ̄ vajramuni ̄ ̣ s ́ ri ̄ dvarakish ̣ a is the same form twofold.","ಅಶ್ವಥ್  ಲೀಲಾವತಿ ವಜ್ರಮುನಿ  ಶೈಲಶ್ರೀ  ದ್ವಾರಕೀಶ್ ೧೯೭೫ ಒಂದೇ ರೂಪ ಎರಡು ಗುಣ ಎ"
"Zurich is at the center of the largest research book outbreak in Switzerland's history.","ಸ್ವಿಸರ್'ಲ್ಯಾಂಡ್ ದೇಶದ ಹೆಚ್ಚಿನ ಸಂಶೋಧನೆ ಬುಕ್ಕೊ ಬುಲೆವಣಿಗೆದ ಕೇಂದ್ರೋಲು ಜ್ಯೂರಿಕ್'ಡ್ ನಿಲೆಯಾತಾ"
"Barry Barry John On Jokhulen Pednin Dei Maddi Dampatilag Ponnu Balle Baudou Pannupu Andond.","ಬೆರಿ ಬೆರಿ ಏಳ್ ಜನ ಆಣ್ ಜೋಕುಲೆನ್ ಪೆದ್ದಿನ ದೇಯಿ ಮಾಡೆದಿ ದಂಪತಿಲೆಗ್ ಪೊಣ್ಣು ಬಾಲೆ ಬೋಡು ಪನ್ಪಿನ ಅಂಗಲಪ್ಪು ಇತ್ತ್ಂಡ್"
"You've got to be smart","ತಿನರೆ ರುಚಿಯಾದಿಪ್ಪುಂಡು"
"Most of the bulbs are used in large-scale biomass and biogas plants.","ಗೌತಮೆ ಬೊಲ್ಪುಗು ಬೀಜ ಬಿತ್ತ್ ದ್ -ಬಯ್ಯಗ್ ಫಸಲು ಕೊಯಿದ್ ಮಾತೆರೆಗ್ಲಾ ಉನಿಯೆರೆ ಬಳಸೋನ್ದಿತ್ತೆ"
"Special training was given to Maren and Lakkathu "" how many times did you get the same amount of money as you did in the previous year? ""","ಕೃಷ್ಣೆ ತಕ್ಷಣ ಮೆರೆನ್ ಮಿತ್ತ್ ಲಕ್ಕಾದ್  ""ಉಂದು ಕೇವಲ ಒಂಜಿ ತಮಾಷೆ  ಸಂಸಾರೊಡು ಮೊಕೆದಕುಲೆನ ನಡುಟು ಇಂಚಿನ ತಮಾಷೆ ಸಹಜ"" ಪಂದ್ ಸಮಾಧಾನ ಮಲ್ಪುವೆ"
"Deposit the machine used by the retailer KDGlustand on behalf of Biti Baku.","ಬೈತಿ ಬುಕ್ಕೊ ನರ್ತೆದ ಒಟ್ಟೆಲೆರ್ದ್ ಕಡ್ಡಿನ್ ಗಲಸ್‍ದ್ ಅವೆತ್ತ ಉಲಾಯಿದ ಮಾಸನ್ ದೆಪ್ಪೊಡು"
"Repeat with the left margin.","೨೮ನೇ ಮಾರ್ಚಿ ೧೨ ಪ್ರಕರಣೊಲು ತೋಜುದುಬರ್ಪುಂಡು"
"Payal Rajput ( pic : December left ) is a Punjabi film actress.","ಪಾಯಲ್ ರಾಜ್ಪುತ್ (ಪುಟ್ಟು ೫ ಡಿಸೆಂಬರ್ ೧೯೯೨) ಒರ್ತಿ ಭಾರತದ ಆಕ್ಟರ್  ಮುಖ್ಯವಾದ್ ತೆಲುಗು ಬೊಕ್ಕ ಪಂಜಾಬಿ ಚಿತ್ರೊಲೆಡ್ ಬೇಲೆ ಮಲ್ಪುವೆರ್"
"An artist with a group of book colleagues","ಅಂಚನೆ ಸಂಗೀತ ಬುಕ್ಕೊ ಸಾಹಿತ್ಯೊನ್ಲಾ ಕಲ್ತೆರ್"
"Or the establishment owner of the orphanage","ಆರ್ ಅನಾಥಾಶ್ರಮೊಲೆನ್ ಲಾ ಸ್ಥಾಪನೆ ಮಲ್ತೆರ್"
"One of the major contributors to the creation of the Polish state Tukit  Pundr Orop Meltzer  was a member of the National Council of Foreign Affairs.","ಪೊಲೀಸ್ ಲು ದಿಶಾ ಟೂಕಿಟ್ ನ್ ರಚನೆ ಮಲ್ಪುನ ಬೊಕ್ಕ ಪ್ರಸಾರ ಮಲ್ಪುನ ಒರಿ ""ಮುಖ್ಯ ಪಿತೂರಿಕಾರೆ"" ಪಂಡ್ದ್ ಆರೋಪ ಮಲ್ತೆರ್  ಬೊಕ್ಕ ಭಾರತೀಯ ರಾಜ್ಯದ ವಿರುದ್ಧ ಅಸಮಾಧಾನೊನು ಹರಡುನ ನಿಟ್ಟಿಡ್ ಖಾಲಿಸಾತಾನಿ ಪರ ""ಪೊಯೆಟಿಕ್ ಜಸ್ಟಿಸ್ ಫೌಂಡೇಶನ್"" ನೊಟ್ಟುಗು ಸಹಕಾರ ಕೊರ್ತೆರ್"
"When the battery is turned on  the force of the cannon is increased to a greater extent.","ಜೈನ ಬ೦ಟೆರ್ನ ಮೂಲದಕುಲಾದ್ ಗುತ್ತುನು ಕಾಪುನ ಒಟ್ಟೀಗೆ ಬೆನ್ನಿದ ರಕ್ಷಣೆ ನ್ ಮಲ್ತೊ೦ದು ಬತ್ತಿನಕುಲು"
"Gaileg Samanyam danto ejji ek nji vellum anganadu "" tskss pannu undundu "" they will buy some thozhundu and when they are ready they will take the thozhundu.","ಗಾಯಿಲೆಗ್ ಸಾಮಾನ್ಯವಾದ್ ದಂತೊಲು ಇಜ್ಜಿ; ಒಂಜಿ ವೇಳೆ ದಂತೊಲು—ಅಂಚನೆ  ""ಟಸ್ಕ್ಸ್"" ಪನ್ಪಿನವು—ಉಂಡುಂಡ  ಅವು ಕೇವಲ ತೋಜುಂಡು ಬುಕ್ಕೊ್ಕ ಬಾಯಿ ತೆರೆದಿಪ್ಪುನಗ ಮಾತ್ರ ತೋಜುಂಡು"
"Mooji Telmar is an Indian film director and producer who works in Hindi films.","ಮೂಜಿ ತಲೆಮಾರ್ ತೂಯಿನ ಹಿರಿಯ ಮಲಯಾಳಂ ನಟಿ ಆಯಿನ ಆರ್ ೮೭ ವರ್ಸೊ ಮುಟ್ಟ ಬದ್ಕ್ ದ್ ೩೦ ನವೆಂಬರ್ ೨೦೨೩ ಡು ಇಹಲೋಕ ತ್ಯಜಿಸಿಯೆರ್"
"Buy a bag of rice  a bottle of milk  a bowl of curd  and a piece of land on the bank of the river.","ಮಕರದ ಬೆನ್ನಿ‍ಡ್‍ದ್ ಬೊಕ್ಕ ಕೊಯ್ದ್ ಬತ್ತಿನ ಕಂಡೊಡು ಬೊಕ್ಕ ಮರಳು  ಚೆನ್ನೆ ನೀರ್ ಬರ್ಪಿನ ಒಣ ಭೂಮಿಡ್ ಉಂದೆನ್ ಬುಳೆಪಾವೊಲಿ"
"Fill this card with the required amount of money or special people's fund.","ಈ ಕರಡ್ದ್ ಅಗಸ್ತ್ಯ ಬುಕ್ಕೊ ವಶಿಷ್ಠನ ಜನ್ಮ ಆಫುಂಡು ಪಂಡ್ದ್ ಪುರಾಣೊಡು ಉಂಡು"
"Bandar Kotad Saboonu Sandapoo Brass Paste Engine Building","ಬೆಂದ್ರ್‌ದ ಕೊಟ್ಯಡ್ ಸಾಬೂನು  ಶ್ಯಾಂಪೊ  ಬ್ರಶ್  ಪೇಸ್ಟ್ ಇಂಚಿತ್ತಿ ವಸ್ತುಲೆನ್ ದೀಯೆರೆ"
"Today is the fifth double century for a Chinese boxer.","ಸಾನಿಯಾ ಬೊಕ್ಕ ಬೆಥನಿ ಒಟ್ಟುಗು ಪಡೆತಿನ ಐದನೇ ಡಬ್ಲ್ಯುಟಿಎ ಪ್ರಶಸ್ತಿ ಇಂದು"
"People's commuting on the Red Line Metro Rail between New Delhi and New Delhi ( Subway ).","ನೆಲತ್ತ ಅಡಿಟ್ ದಿಂಜ ಅಂತಸ್ತ್‌ಲೆನ ನೆಲಮಾಳಿಗೆಲೆಡ್ ಪಾಡ್ದಿನ (ಸಬ್ ವೇ) ರೈಲ್ ಮಾರ್ಗೊಲೆಡ್ ಮೆಟ್ರೊ ರೈಲ್‌ಲು ಜನಮಾನ್ಯರೆಗ್ ಒಂಜಿ ಕಡೆಡ್ದ್ ನನೊಂಜಿ ಕಡೆಕ್ ಪೋಪಿನ ನಗರೊದ ಬೇತೆ ಬೇತೆ ಪ್ರದೇಸೊಗ್ ಸಂಪರ್ಕೊ ಸಾದಿಸಾವೊ"
"AS : D an Finished SONG ) Left Axford University Press left ISBN left Swapnani left Multinarti left FULL","ಆಸ್: ದಿ ಅನ್ ಫಿನಿಶ್ಡ್ ಸಾಂಗ್)  ೧೮೯೮  ಆಕ್ಸ್ ಫರ್ಡ್ ಯೂನಿವರ್ಸಿಟಿ ಪ್ರೆಸ್  ೨೦೦೮ ಐಎಸ್ಬಿಎನ್ ೯೭೮೦೧೯೫೬೯೬೩೫೬ ಬಿಚಿತ್ರ  ೧೯೨೦ ಸ್ವಪ್ನಬಾನಿ  ೧೯೨೧ ಮಿಲನ್ರಾಟಿ  ೧೯೨೫ ಫುಲೆರ್ ಮಲ್ಲ ನಾಟಕೊಲು ಕೊನಿ ಬಾದಲ್ (ಸಂಜೆದ ಧೂಳು ಮೋಡೊಲು / ವಧುನ್ ತೂಯೆರೆ ಸಮಯ)  ೧೯೦೬ ಪಾಕ್ ಚಕ್ರ (ಅದೃಷ್ಟದ ಚಕ್ರ)  ೧೯೧೧ ರಾಜಕಣ್ಯ ದಿವ್ಯಕಮಲ್ ಗೌರವೊಲು ಬೊಕ್ಕ ಪ್ರಶಸ್ತಿಲು ಕಲ್ಕತ್ತಾ ವಿಶ್ವವಿದ್ಯಾಲಯೊಡ್ದ್ ೧೯೨೭ಡ್ ಜಗತ್ತರಿಣಿ ಚಿನ್ನದ ಪದಕೊನು ಪಡೆಯೆರ್ ಬೊಕ್ಕ ಈ ಪ್ರಶಸ್ತಿನ್ ಗೆಂದಿನ ಸುರುತ ಪೊಣ್ಣು"
"Vasudeva Sunil Kumar Embarrassment Scheme","ವಾಸುದೇವ್ ಸುನಿಲ್ ಕುಮಾರ್ ಇಂಬೆರ್ ಓರ್ವ ರಾಜಕಾರಿಣಿ"
"Both anakshatra and bhagyakshetra need to increase the size of the eyes and look at the corners  the ease of access and the benefits of limited access and time.","ಅನಕ್ಷರಸ್ಥ ಮತ್ತು ಭಾಗಶಃ ಸಾಕ್ಷರ ಎರಡೂ ಮಹಿಳೆಯರ  ಮಕ್ಕಳನ್ನು ಬೆಳೆಸುವ ಮತ್ತು ಕುಟುಂಬಗಳು ನೋಡಿಕೊಳ್ಳಬೇಕಾದ  ಆರೋಗ್ಯ ಮತ್ತು ಉದ್ಯೋಗಾವಕಾಶಗಳು ಸೀಮಿತ ಪ್ರವೇಶವನ್ನು ಮತ್ತು ತಮ್ಮ ಮನೆಕೆಲಸಗಳನ್ನು ಪರಿಧಿಯಿಂದ ಸೀಮಿತವಾಗಿಲ್ಲ ಉಳಿದಿವೆ"
"Give me a jonklg sikpagar today in kapril.","೫ನೇ ಏಪ್ರಿಲ್ ಒಟ್ಟು ೭ ಜನಕ್ಲೆಗ್ ಸೀಕ್ ಪಗರ್‌ದಿಪ್ಪುಂಡು"
"George Acker Laugh Market ForLawns Listed and based on my example of a private employer's used car market.","ಜ್ಯಾರ್ಜ್ ಎಕರ್‌ಲಾಫ್‌ ಮಾರ್ಕೆಟ್ ಫಾರ್ ಲೆಮನ್ಸ್ ಲೇಖನತ ಮಿತ್ತ್ ಆಧಾರಿತವಾತ್  ಮಾದರಿ ಉದಾಹರಣೆ ಒಂಜಿ ಅಪಾಯಕರ ಬಳಸಿದ ಕಾರುಗಳ ಮಾರುಕಟ್ಟೆ"
"Karnatak Rajyastha College of Engineering and Technology","ಕರ್ನಾಟಕ ರಾಜ್ಯದ ಐನ್ ಪ್ರತಿಷ್ಟಿತ ಕಾಲೇಜಿಟ್ ಒಂಜಿ ಅತುಂಡು"
